City,Time,Temperature,Humidity,Pressure,WindSpeed,Weather_Class
Delhi,2026-08-01T13:00,29.9,83,972.7,7.6,Warm
Delhi,2026-08-01T14:00,29.2,85,973.7,5.8,Warm
Delhi,2026-08-01T15:00,28.5,88,974.5,5.4,Warm
Delhi,2026-08-01T16:00,28.1,90,974.7,5.6,Warm
Delhi,2026-08-01T17:00,27.8,91,974.7,6.6,Warm
Delhi,2026-08-01T18:00,27.6,93,974.7,7.7,Warm
Delhi,2026-08-01T19:00,27.5,93,974.5,7.7,Warm
Delhi,2026-08-01T20:00,27.4,94,974.3,7.2,Warm
Delhi,2026-08-01T21:00,27.2,94,974.2,7.3,Warm
Delhi,2026-08-01T22:00,26.6,96,974.2,8.6,Warm
Delhi,2026-08-01T23:00,25.8,98,974.4,10.6,Warm
Delhi,2026-08-02T00:00,25.4,99,974.7,11.7,Warm
Delhi,2026-08-02T01:00,25.6,97,975.1,11.4,Warm
Delhi,2026-08-02T02:00,26.2,94,975.6,10.3,Warm
Delhi,2026-08-02T03:00,27.0,90,976.1,9.3,Warm
Delhi,2026-08-02T04:00,28.0,86,976.4,8.9,Warm
Delhi,2026-08-02T05:00,29.2,81,976.5,8.7,Warm
Delhi,2026-08-02T06:00,30.3,77,976.2,8.3,Warm
Delhi,2026-08-02T07:00,31.1,75,975.6,7.5,Warm
Delhi,2026-08-02T08:00,31.8,73,974.7,6.7,Warm
Delhi,2026-08-02T09:00,32.0,73,973.9,6.3,Warm
Delhi,2026-08-02T10:00,31.4,75,973.4,6.4,Warm
Delhi,2026-08-02T11:00,30.4,79,972.9,7.0,Warm
Delhi,2026-08-02T12:00,29.4,84,972.8,7.1,Warm
Delhi,2026-08-02T13:00,28.7,89,972.9,5.8,Warm
Delhi,2026-08-02T14:00,28.1,94,973.2,4.1,Warm
Delhi,2026-08-02T15:00,27.6,97,973.7,3.4,Warm
Delhi,2026-08-02T16:00,27.5,97,974.4,4.2,Warm
Delhi,2026-08-02T17:00,27.5,95,975.1,5.7,Warm
Delhi,2026-08-02T18:00,27.4,94,975.4,6.3,Warm
